place_name,place_id,place_lat,place_lng,place_type
Sos Borracharia,751bc410d30cc6efc4219930216b36686f7e5878,-9.642995,-35.705073,car_repair
Borracharia 24 horas Pit Stop,28c2f5f97f98646806881e62ddd2a03475b1640e,-9.638899600000002,-35.7050632,car_repair
Galvãosom Equipadora,33ba2ebde4bd83df1cfe72381e87907044a7a8f3,-9.642759800000002,-35.706711,car_repair
SP Scap,a5c12646c9349f752a88bc6e4771a80afd49ee38,-9.6430899,-35.7065202,car_repair
Borracharia do Pai,96aed47b7ca735d179d64350e7564d24b917d886,-9.6430417,-35.7068283,car_repair
KeithSound,d2cdbebc8d3acf8366f61ab43ef9f6784cf5aa08,-9.64106,-35.7076598,car_repair
KEITH SOUND EQUIPADORA,a7dd3dbadf2bfdbf4329910411f50c57bf7d7e4e,-9.641159199999997,-35.70768,car_repair
Carvalho's Guinchos,0af73f3c9fc11212c6ad8b99df5a504275155cc9,-9.6429537,-35.7075944,car_repair
FabriCar,9660180229371c801edd01963a226af218fe74a3,-9.6411695,-35.7081095,car_repair
Vip Gás Car,a09bd422dfc99767cceff29dff993fd38627c1fa,-9.643946099999999,-35.7012144,car_repair
Galvão Som Equipadora,8cbee1485f650b4e00bf4f892c7275ca76f9e22a,-9.6428672,-35.7090112,car_repair
Oficina do Paulinho,a5979ece0b5b0795381f5068bc4c534636eb62ca,-9.636338599999998,-35.70189939999999,car_repair
Point Car,7250b91ede7f8ed071b295c9d01d0e59872e867d,-9.643505500000002,-35.7099434,car_repair
Constantic,4b8838e8f721ac92c1000419748025664e69f4a4,-9.634877900000001,-35.7036741,car_repair
AUTO FRANCE,aadcdf51b19fcb6f0c1f61f401fc5ef30bc469a3,-9.634868999999998,-35.7036303,car_repair
Ladeirão do Óleo,92fbcd9e817b6106b82f921e3ae045d5db477653,-9.6347686,-35.7041049,car_repair
Pronto Car Serviços Automotivos,cfd9f4914e9d94b7c54f5c71817db6460e611535,-9.6426159,-35.7106484,car_repair
Martelinho de Ouro,5c9576f19dafee08ca413ef4f3a01884fb697d38,-9.644773599999997,-35.71032919999999,car_repair
L S Farias Autopeças,632b6ce11167253ea6ce6a480d51f4b4448afe10,-9.643439899999997,-35.71112040000001,car_repair
Oficina Fábio Mecânica,3bf32891dae4a0f897ae8c7c8c599b1a94ada036,-9.6344149,-35.7069885,car_repair
Borracharia Anjos,d7187a0ad62d415a13ca5cc5ec7085e3bddb9d9b,-9.6352615,-35.7088936,car_repair
Dadà Sound,ede3c87793f0ee1c224d08ad9c9f3c8a06e56990,-9.6346763,-35.7082329,car_repair
edsonterremoto,472deb6dd829ebbd15a0426f3920259f2763767c,-9.634585300000001,-35.708079,car_repair
Caroços sound,1d8de026dc72c80b8b46dcfc80c52c809767be11,-9.634395000000001,-35.7079333,car_repair
Jet Car Lavajato,9116be3c01c2f16be8a4bdc24f69e172c1bce2c8,-9.6425462,-35.7029063,car_wash
Lava Motos Ladeirão,36418552749553ba3d9866fe27869300482547ab,-9.6352581,-35.7028789,car_wash
Zé do Grau,ac10d8a567ff3e0281a9133ffc8bafaede614c4e,-9.644345399999999,-35.7108705,car_wash
Lava Rapido Posto shopping,b9fc143757aa127f602512d09c0145caf658e6d4,-9.6437523,-35.7111021,car_wash
Lavajato Nota 10,976ceea0b52aa1b4dc366aea2fe4cbebda903a8a,-9.641037999999998,-35.7074684,car_wash
Lava jato do Leleo,b72a2c8fd526ce77a2b9358ccbc05d6dfaba3c24,-9.642081,-35.700405,car_wash
Oliveira Estética Automotiva,41746e8441f744debe35a34f7d16d19bc65848e5,-9.642213,-35.700373,car_wash
Lava Jato Oliveira,8870728a1a48f8329667d430e9e543d02c0a4b05,-9.6421139,-35.7001329,car_wash
Lava Jato Omena,bc57f1b5d3857a05071c96fe54add3eb8f1a4023,-9.637381999999999,-35.702387,car_wash
Lava Car,f5d5a9151a4359df77c754f90a9574bcd5dca717,-9.6373828,-35.70233899999999,car_wash
Jatiúca Jato,95607bfdb306dd91585a6b68d8b361f98255f7ad,-9.645556,-35.703684,car_wash
Lava jato Pereira,329b41eee7d285aa1386ef1adb8c504c3bdc11d4,-9.638759199999997,-35.7003076,car_wash
Lava Jato Clean Box,55dc2feeb08f5a2fb546842b1f8aa81463e027c0,-9.643797099999999,-35.70023039999999,car_wash
CELERI Lava Jato,e959eabd0fd127e3d6ef8f164818cd9bf5c9a388,-9.645041100000002,-35.7010953,car_wash
F1 Lava Jato,6e108a29157644af7f6325d8c41bc0234bb3b876,-9.645141299999999,-35.7009057,car_wash
Vap Detailing,94f5b06c6af9c5ddcc2d66b4b3712dd4bcd0bf7e,-9.635253499999997,-35.702879,car_wash
Lava Jato Acquaje,3a67691aa7a9c3e982144f40cd3e873328a04b26,-9.635253200000001,-35.7024517,car_wash
box45 lava jato,5991919c93e02ff11e46282ebd40007d221abd9a,-9.6350977,-35.7031369,car_wash
i9car Estética Automotiva,1859fc2caced0735bb153fce7818b0238d0a250f,-9.644186,-35.709837,car_wash
Lava Jato Pitstop,ffb5dd4cbb0b7d7abe375a611b81a6361b94bc94,-9.635041099999999,-35.702557,car_wash
Mcz_oficial Estética Automotiva,d58dd6e9e64f7e80d2bd154cb8dbf235cfacad1c,-9.648879500000001,-35.7030157,car_wash
IGREJA CRISTÃ MARANATA - ICM MULTIRAO,6c53a2829ea141cfa83d01e2ef20206dec4e017c,-9.6353971,-35.70896930000001,church
ETICA - Confecções de fardas e bolsas ecobags,db618a5f12d2b624359d14307766dae2157d387e,-9.641147,-35.707545,clothing_store
Cabide de Vestir por Socorro Barros,be73308ec4efa1e9b27356874947dc25d54c8cae,-9.6414986,-35.70262110000001,clothing_store
